op_unique_carrier,origin,dest,dep_hour,flights
9E,ABE,ATL,6,6
9E,ABE,ATL,12,6
9E,AEX,ATL,6,6
9E,AEX,ATL,16,6
9E,AGS,ATL,13,5
9E,AGS,ATL,18,6
9E,ALB,LGA,7,6
9E,ATL,ABE,9,6
9E,ATL,ABE,21,5
9E,ATL,AEX,14,6
9E,ATL,AEX,20,6
9E,ATL,AGS,11,5
9E,ATL,AGS,17,6
9E,ATL,ATW,20,4
9E,ATL,AVL,8,5
9E,ATL,AVL,11,5
9E,ATL,AVL,15,5
9E,ATL,BMI,14,6
9E,ATL,BMI,21,6
9E,ATL,CAE,12,4
9E,ATL,CHA,9,6
9E,ATL,CHA,11,4
9E,ATL,CHA,14,6
9E,ATL,CHA,17,5
9E,ATL,CHO,10,2
9E,ATL,CHO,11,3
9E,ATL,CHO,15,2
9E,ATL,CLT,15,6
9E,ATL,CLT,17,4
9E,ATL,CRW,10,6
9E,ATL,CRW,21,6
9E,ATL,DAY,9,6
9E,ATL,DAY,16,5
9E,ATL,DHN,13,6
9E,ATL,DHN,21,6
9E,ATL,EYW,17,6
9E,ATL,FAY,13,6
9E,ATL,GPT,10,4
9E,ATL,GPT,15,5
9E,ATL,GSO,12,2
9E,ATL,GTR,13,6
9E,ATL,GTR,22,6
9E,ATL,HPN,13,6
9E,ATL,HSV,8,6
9E,ATL,HSV,11,6
9E,ATL,HSV,18,4
9E,ATL,HSV,23,5
9E,ATL,ICT,9,4
9E,ATL,ICT,15,4
9E,ATL,ILM,9,6
9E,ATL,ILM,22,4
9E,ATL,JAN,8,6
9E,ATL,LEX,9,6
9E,ATL,LEX,12,5
9E,ATL,LEX,16,5
9E,ATL,LEX,20,4
9E,ATL,LEX,22,5
9E,ATL,LFT,11,6
9E,ATL,LFT,22,6
9E,ATL,MGM,11,2
9E,ATL,MLI,15,6
9E,ATL,MLI,21,6
9E,ATL,MLU,13,6
9E,ATL,MLU,19,6
9E,ATL,MOB,9,5
9E,ATL,MOB,15,5
9E,ATL,MSN,15,4
9E,ATL,MSN,20,5
9E,ATL,OAJ,11,6
9E,ATL,OAJ,21,5
9E,ATL,PNS,16,4
9E,ATL,ROA,9,4
9E,ATL,ROA,16,5
9E,ATL,SGF,9,4
9E,ATL,SGF,11,2
9E,ATL,SGF,15,4
9E,ATL,SGF,21,6
9E,ATL,TLH,9,5
9E,ATL,TRI,9,6
9E,ATL,TRI,13,4
9E,ATL,TRI,21,5
9E,ATL,TUL,15,5
9E,ATL,TYS,9,5
9E,ATL,TYS,12,5
9E,ATL,TYS,17,5
9E,ATL,TYS,18,5
9E,ATL,TYS,21,6
9E,ATL,VLD,12,5
9E,ATL,VLD,20,6
9E,ATL,XNA,10,4
9E,ATL,XNA,11,2
9E,ATL,XNA,15,4
9E,ATL,XNA,21,5
9E,ATW,ATL,5,5
9E,ATW,DTW,7,6
9E,ATW,DTW,17,6
9E,AUS,RDU,10,5
9E,AVL,ATL,10,5
9E,AVL,ATL,12,6
9E,AVL,ATL,17,5
9E,AVL,LGA,14,6
9E,AZO,DTW,6,6
9E,AZO,DTW,14,6
9E,BDL,DTW,13,6
9E,BDL,DTW,17,4
9E,BGM,LGA,7,6
9E,BGR,JFK,13,5
9E,BGR,LGA,7,6
9E,BHM,DTW,10,6
9E,BHM,LGA,10,2
9E,BHM,LGA,11,4
9E,BMI,ATL,6,6
9E,BMI,ATL,16,6
9E,BNA,JFK,9,6
9E,BNA,JFK,13,5
9E,BOS,CVG,10,5
9E,BTV,JFK,7,5
9E,BTV,JFK,14,5
9E,BUF,DTW,11,5
9E,BUF,DTW,17,5
9E,BUF,JFK,6,5
9E,BUF,JFK,18,5
9E,BWI,JFK,17,6
9E,CAE,ATL,14,4
9E,CAE,LGA,16,6
9E,CHA,ATL,10,6
9E,CHA,ATL,13,4
9E,CHA,ATL,16,6
9E,CHA,ATL,19,5
9E,CHO,ATL,12,2
9E,CHO,ATL,13,3
9E,CHO,ATL,17,2
9E,CHO,LGA,8,5
9E,CHS,JFK,7,6
9E,CHS,JFK,13,5
9E,CHS,LGA,8,6
9E,CHS,LGA,16,4
9E,CID,MSP,6,6
9E,CID,MSP,15,6
9E,CLE,DTW,10,6
9E,CLE,DTW,17,5
9E,CLE,JFK,7,5
9E,CLE,JFK,16,5
9E,CLE,LGA,8,6
9E,CLE,LGA,17,4
9E,CLE,MSP,6,5
9E,CLE,MSP,12,5
9E,CLT,ATL,16,4
9E,CLT,ATL,17,2
9E,CLT,ATL,19,4
9E,CLT,DTW,13,6
9E,CLT,DTW,17,4
9E,CLT,JFK,8,5
9E,CLT,JFK,11,5
9E,CLT,JFK,16,6
9E,CLT,LGA,15,4
9E,CMH,DTW,6,3
9E,CMH,MSP,11,5
9E,CMH,MSP,16,5
