code,city_clean,state,label
ABR,Aberdeen,South Dakota,Aberdeen (ABR)
ABI,Abilene,Texas,Abilene (ABI)
ADK,Adak Island,Alaska,Adak Island (ADK)
BQN,Aguadilla,Puerto Rico,Aguadilla (BQN)
CAK,Akron,Ohio,Akron (CAK)
ABY,Albany,Georgia,Albany (ABY)
ALB,Albany,New York,Albany (ALB)
ABQ,Albuquerque,New Mexico,Albuquerque (ABQ)
AEX,Alexandria,Louisiana,Alexandria (AEX)
ABE,Allentown/Bethlehem/Easton,Pennsylvania,Allentown/Bethlehem/Easton (ABE)
APN,Alpena,Michigan,Alpena (APN)
AMA,Amarillo,Texas,Amarillo (AMA)
ANC,Anchorage,Alaska,Anchorage (ANC)
ATW,Appleton,Wisconsin,Appleton (ATW)
ACV,Arcata/Eureka,California,Arcata/Eureka (ACV)
AVL,Asheville,North Carolina,Asheville (AVL)
HTS,Ashland,West Virginia,Ashland (HTS)
ASE,Aspen,Colorado,Aspen (ASE)
ATL,Atlanta,Georgia,Atlanta (ATL)
ACY,Atlantic City,New Jersey,Atlantic City (ACY)
AGS,Augusta,Georgia,Augusta (AGS)
AUS,Austin,Texas,Austin (AUS)
BFL,Bakersfield,California,Bakersfield (BFL)
BWI,Baltimore,Maryland,Baltimore (BWI)
BGR,Bangor,Maine,Bangor (BGR)
BRW,Barrow,Alaska,Barrow (BRW)
BTR,Baton Rouge,Louisiana,Baton Rouge (BTR)
BPT,Beaumont/Port Arthur,Texas,Beaumont/Port Arthur (BPT)
BLV,Belleville,Illinois,Belleville (BLV)
BLI,Bellingham,Washington,Bellingham (BLI)
BJI,Bemidji,Minnesota,Bemidji (BJI)
RDM,Bend/Redmond,Oregon,Bend/Redmond (RDM)
BET,Bethel,Alaska,Bethel (BET)
BIL,Billings,Montana,Billings (BIL)
BGM,Binghamton,New York,Binghamton (BGM)
BHM,Birmingham,Alabama,Birmingham (BHM)
BIH,Bishop,California,Bishop (BIH)
BIS,Bismarck/Mandan,North Dakota,Bismarck/Mandan (BIS)
BMI,Bloomington/Normal,Illinois,Bloomington/Normal (BMI)
BOI,Boise,Idaho,Boise (BOI)
BOS,Boston,Massachusetts,Boston (BOS)
BZN,Bozeman,Montana,Bozeman (BZN)
BRD,Brainerd,Minnesota,Brainerd (BRD)
TRI,Bristol/Johnson City/Kingsport,Tennessee,Bristol/Johnson City/Kingsport (TRI)
BRO,Brownsville,Texas,Brownsville (BRO)
BQK,Brunswick,Georgia,Brunswick (BQK)
BUF,Buffalo,New York,Buffalo (BUF)
BUR,Burbank,California,Burbank (BUR)
BTV,Burlington,Vermont,Burlington (BTV)
BTM,Butte,Montana,Butte (BTM)
CPR,Casper,Wyoming,Casper (CPR)
CDC,Cedar City,Utah,Cedar City (CDC)
CID,Cedar Rapids/Iowa City,Iowa,Cedar Rapids/Iowa City (CID)
CMI,Champaign/Urbana,Illinois,Champaign/Urbana (CMI)
CHS,Charleston,South Carolina,Charleston (CHS)
CRW,Charleston/Dunbar,West Virginia,Charleston/Dunbar (CRW)
CLT,Charlotte,North Carolina,Charlotte (CLT)
STT,Charlotte Amalie,U.S. Virgin Islands,Charlotte Amalie (STT)
CHO,Charlottesville,Virginia,Charlottesville (CHO)
CHA,Chattanooga,Tennessee,Chattanooga (CHA)
CYS,Cheyenne,Wyoming,Cheyenne (CYS)
ORD,Chicago,Illinois,Chicago (ORD)
MDW,Chicago,Illinois,Chicago (MDW)
STX,Christiansted,U.S. Virgin Islands,Christiansted (STX)
CVG,Cincinnati,Kentucky,Cincinnati (CVG)
CKB,Clarksburg/Fairmont,West Virginia,Clarksburg/Fairmont (CKB)
CLE,Cleveland,Ohio,Cleveland (CLE)
CLL,College Station/Bryan,Texas,College Station/Bryan (CLL)
COS,Colorado Springs,Colorado,Colorado Springs (COS)
CAE,Columbia,South Carolina,Columbia (CAE)
COU,Columbia,Missouri,Columbia (COU)
GTR,Columbus,Mississippi,Columbus (GTR)
CMH,Columbus,Ohio,Columbus (CMH)
LCK,Columbus,Ohio,Columbus (LCK)
CSG,Columbus,Georgia,Columbus (CSG)
USA,Concord,North Carolina,Concord (USA)
CDV,Cordova,Alaska,Cordova (CDV)
CRP,Corpus Christi,Texas,Corpus Christi (CRP)
DAL,Dallas,Texas,Dallas (DAL)
DFW,Dallas/Fort Worth,Texas,Dallas/Fort Worth (DFW)
DAY,Dayton,Ohio,Dayton (DAY)
DAB,Daytona Beach,Florida,Daytona Beach (DAB)
SCC,Deadhorse,Alaska,Deadhorse (SCC)
DEC,Decatur,Illinois,Decatur (DEC)
DEN,Denver,Colorado,Denver (DEN)
DSM,Des Moines,Iowa,Des Moines (DSM)
DTW,Detroit,Michigan,Detroit (DTW)
DVL,Devils Lake,North Dakota,Devils Lake (DVL)
DIK,Dickinson,North Dakota,Dickinson (DIK)
DDC,Dodge City,Kansas,Dodge City (DDC)
DHN,Dothan,Alabama,Dothan (DHN)
