origin,dest,op_unique_carrier,month,time_bucket,total_flights,delayed_flights,avg_delay_min,weather_delayed,cancelled,origin_city,dest_city,delay_rate,weather_delay_rate
ABE,ATL,9E,1,afternoon,6,2,64.5,0,0,"Allentown/Bethlehem/Easton, PA","Atlanta, GA",0.3333,0.0
ABE,ATL,9E,1,morning,6,1,32.0,0,0,"Allentown/Bethlehem/Easton, PA","Atlanta, GA",0.1667,0.0
ABE,BNA,G4,1,morning,1,0,0.0,0,0,"Allentown/Bethlehem/Easton, PA","Nashville, TN",0.0,0.0
ABE,BNA,G4,1,night,1,0,0.0,0,0,"Allentown/Bethlehem/Easton, PA","Nashville, TN",0.0,0.0
ABE,CLT,OH,1,evening,5,0,0.0,0,1,"Allentown/Bethlehem/Easton, PA","Charlotte, NC",0.0,0.0
ABE,CLT,OH,1,morning,11,3,153.3,0,0,"Allentown/Bethlehem/Easton, PA","Charlotte, NC",0.2727,0.0
ABE,DEN,G4,1,morning,2,0,0.0,0,0,"Allentown/Bethlehem/Easton, PA","Denver, CO",0.0,0.0
ABE,FLL,G4,1,afternoon,2,1,38.0,0,0,"Allentown/Bethlehem/Easton, PA","Fort Lauderdale, FL",0.5,0.0
ABE,FLL,G4,1,morning,2,1,43.0,0,0,"Allentown/Bethlehem/Easton, PA","Fort Lauderdale, FL",0.5,0.0
ABE,MLB,G4,1,morning,2,0,0.0,0,0,"Allentown/Bethlehem/Easton, PA","Melbourne, FL",0.0,0.0
ABE,MYR,G4,1,afternoon,2,0,0.0,0,0,"Allentown/Bethlehem/Easton, PA","Myrtle Beach, SC",0.0,0.0
ABE,ORD,OO,1,evening,5,1,386.0,0,0,"Allentown/Bethlehem/Easton, PA","Chicago, IL",0.2,0.0
ABE,ORD,OO,1,morning,5,2,239.5,0,0,"Allentown/Bethlehem/Easton, PA","Chicago, IL",0.4,0.0
ABE,PGD,G4,1,afternoon,3,0,0.0,0,0,"Allentown/Bethlehem/Easton, PA","Punta Gorda, FL",0.0,0.0
ABE,PGD,G4,1,evening,1,0,0.0,0,0,"Allentown/Bethlehem/Easton, PA","Punta Gorda, FL",0.0,0.0
ABE,PGD,G4,1,morning,1,0,0.0,0,0,"Allentown/Bethlehem/Easton, PA","Punta Gorda, FL",0.0,0.0
ABE,PIE,G4,1,afternoon,3,0,0.0,0,0,"Allentown/Bethlehem/Easton, PA","St. Petersburg, FL",0.0,0.0
ABE,PIE,G4,1,morning,3,0,0.0,0,0,"Allentown/Bethlehem/Easton, PA","St. Petersburg, FL",0.0,0.0
ABE,SFB,G4,1,afternoon,6,0,0.0,1,0,"Allentown/Bethlehem/Easton, PA","Sanford, FL",0.0,0.1667
ABE,SFB,G4,1,morning,6,1,505.0,0,0,"Allentown/Bethlehem/Easton, PA","Sanford, FL",0.1667,0.0
ABE,SRQ,G4,1,afternoon,2,1,18.0,0,0,"Allentown/Bethlehem/Easton, PA","Sarasota/Bradenton, FL",0.5,0.0
ABI,DFW,MQ,1,afternoon,6,0,0.0,0,0,"Abilene, TX","Dallas/Fort Worth, TX",0.0,0.0
ABI,DFW,MQ,1,evening,6,0,0.0,0,0,"Abilene, TX","Dallas/Fort Worth, TX",0.0,0.0
ABI,DFW,MQ,1,morning,13,0,0.0,0,0,"Abilene, TX","Dallas/Fort Worth, TX",0.0,0.0
ABI,DFW,MQ,1,red_eye,5,0,0.0,0,0,"Abilene, TX","Dallas/Fort Worth, TX",0.0,0.0
ABQ,ATL,DL,1,afternoon,7,1,19.0,0,0,"Albuquerque, NM","Atlanta, GA",0.1429,0.0
ABQ,ATL,DL,1,morning,6,0,0.0,0,0,"Albuquerque, NM","Atlanta, GA",0.0,0.0
ABQ,AUS,MQ,1,morning,5,1,18.0,0,0,"Albuquerque, NM","Austin, TX",0.2,0.0
ABQ,AUS,WN,1,afternoon,2,1,18.0,0,0,"Albuquerque, NM","Austin, TX",0.5,0.0
ABQ,AUS,WN,1,evening,3,2,50.0,0,1,"Albuquerque, NM","Austin, TX",0.6667,0.0
ABQ,AUS,WN,1,morning,5,1,21.0,1,0,"Albuquerque, NM","Austin, TX",0.2,0.2
ABQ,BUR,WN,1,afternoon,5,1,315.0,1,0,"Albuquerque, NM","Burbank, CA",0.2,0.2
ABQ,BWI,WN,1,afternoon,5,3,129.7,1,0,"Albuquerque, NM","Baltimore, MD",0.6,0.2
ABQ,DAL,WN,1,afternoon,6,2,161.5,1,0,"Albuquerque, NM","Dallas, TX",0.3333,0.1667
ABQ,DAL,WN,1,evening,5,1,23.0,1,0,"Albuquerque, NM","Dallas, TX",0.2,0.2
ABQ,DAL,WN,1,morning,9,1,23.0,0,0,"Albuquerque, NM","Dallas, TX",0.1111,0.0
ABQ,DAL,WN,1,red_eye,5,0,0.0,1,0,"Albuquerque, NM","Dallas, TX",0.0,0.2
ABQ,DEN,UA,1,afternoon,5,2,49.5,1,0,"Albuquerque, NM","Denver, CO",0.4,0.2
ABQ,DEN,UA,1,evening,5,0,0.0,0,0,"Albuquerque, NM","Denver, CO",0.0,0.0
ABQ,DEN,UA,1,morning,5,0,0.0,1,0,"Albuquerque, NM","Denver, CO",0.0,0.2
ABQ,DEN,WN,1,afternoon,5,1,89.0,0,0,"Albuquerque, NM","Denver, CO",0.2,0.0
ABQ,DEN,WN,1,evening,5,1,31.0,0,1,"Albuquerque, NM","Denver, CO",0.2,0.0
ABQ,DEN,WN,1,morning,9,2,44.0,0,0,"Albuquerque, NM","Denver, CO",0.2222,0.0
ABQ,DEN,WN,1,red_eye,5,1,16.0,1,0,"Albuquerque, NM","Denver, CO",0.2,0.2
ABQ,DFW,AA,1,afternoon,12,3,103.3,0,0,"Albuquerque, NM","Dallas/Fort Worth, TX",0.25,0.0
ABQ,DFW,AA,1,evening,6,2,31.5,0,0,"Albuquerque, NM","Dallas/Fort Worth, TX",0.3333,0.0
ABQ,DFW,AA,1,morning,18,2,60.0,0,0,"Albuquerque, NM","Dallas/Fort Worth, TX",0.1111,0.0
ABQ,HOU,WN,1,afternoon,3,1,21.0,0,1,"Albuquerque, NM","Houston, TX",0.3333,0.0
ABQ,HOU,WN,1,evening,1,0,0.0,0,0,"Albuquerque, NM","Houston, TX",0.0,0.0
ABQ,HOU,WN,1,morning,9,1,37.0,1,0,"Albuquerque, NM","Houston, TX",0.1111,0.1111
ABQ,HOU,WN,1,red_eye,1,0,0.0,0,0,"Albuquerque, NM","Houston, TX",0.0,0.0
ABQ,IAH,OO,1,afternoon,5,3,131.0,1,0,"Albuquerque, NM","Houston, TX",0.6,0.2
ABQ,IAH,UA,1,morning,5,3,104.0,0,0,"Albuquerque, NM","Houston, TX",0.6,0.0
ABQ,LAS,NK,1,evening,6,2,87.0,0,0,"Albuquerque, NM","Las Vegas, NV",0.3333,0.0
ABQ,LAS,WN,1,afternoon,5,0,0.0,0,0,"Albuquerque, NM","Las Vegas, NV",0.0,0.0
ABQ,LAS,WN,1,evening,4,0,0.0,0,1,"Albuquerque, NM","Las Vegas, NV",0.0,0.0
ABQ,LAS,WN,1,morning,6,1,45.0,0,0,"Albuquerque, NM","Las Vegas, NV",0.1667,0.0
ABQ,LAS,WN,1,night,5,0,0.0,0,0,"Albuquerque, NM","Las Vegas, NV",0.0,0.0
ABQ,LAS,WN,1,red_eye,4,0,0.0,0,0,"Albuquerque, NM","Las Vegas, NV",0.0,0.0
ABQ,LAX,OO,1,afternoon,5,0,0.0,0,0,"Albuquerque, NM","Los Angeles, CA",0.0,0.0
ABQ,LAX,OO,1,evening,5,1,26.0,1,0,"Albuquerque, NM","Los Angeles, CA",0.2,0.2
ABQ,LAX,OO,1,morning,10,1,18.0,0,0,"Albuquerque, NM","Los Angeles, CA",0.1,0.0
ABQ,LAX,WN,1,afternoon,4,2,145.5,1,0,"Albuquerque, NM","Los Angeles, CA",0.5,0.25
ABQ,LAX,WN,1,evening,1,0,0.0,0,0,"Albuquerque, NM","Los Angeles, CA",0.0,0.0
ABQ,LAX,WN,1,morning,1,0,0.0,0,0,"Albuquerque, NM","Los Angeles, CA",0.0,0.0
ABQ,LGB,WN,1,afternoon,5,1,18.0,0,0,"Albuquerque, NM","Long Beach, CA",0.2,0.0
ABQ,MCI,WN,1,afternoon,4,3,22.0,1,0,"Albuquerque, NM","Kansas City, MO",0.75,0.25
ABQ,MCI,WN,1,morning,1,0,0.0,0,0,"Albuquerque, NM","Kansas City, MO",0.0,0.0
ABQ,MDW,WN,1,morning,5,0,0.0,1,0,"Albuquerque, NM","Chicago, IL",0.0,0.2
ABQ,MSP,DL,1,morning,6,0,0.0,0,0,"Albuquerque, NM","Minneapolis, MN",0.0,0.0
ABQ,OAK,WN,1,morning,4,1,51.0,0,0,"Albuquerque, NM","Oakland, CA",0.25,0.0
ABQ,OAK,WN,1,red_eye,1,0,0.0,0,0,"Albuquerque, NM","Oakland, CA",0.0,0.0
ABQ,ORD,AA,1,afternoon,6,1,45.0,0,0,"Albuquerque, NM","Chicago, IL",0.1667,0.0
ABQ,ORD,OO,1,afternoon,1,0,0.0,0,0,"Albuquerque, NM","Chicago, IL",0.0,0.0
ABQ,ORD,UA,1,afternoon,4,0,0.0,0,0,"Albuquerque, NM","Chicago, IL",0.0,0.0
ABQ,PHX,AA,1,afternoon,6,1,83.0,0,0,"Albuquerque, NM","Phoenix, AZ",0.1667,0.0
ABQ,PHX,AA,1,morning,4,1,256.0,0,0,"Albuquerque, NM","Phoenix, AZ",0.25,0.0
ABQ,PHX,OO,1,afternoon,3,0,0.0,0,0,"Albuquerque, NM","Phoenix, AZ",0.0,0.0
ABQ,PHX,OO,1,evening,5,1,33.0,1,0,"Albuquerque, NM","Phoenix, AZ",0.2,0.2
ABQ,PHX,OO,1,morning,5,1,62.0,0,0,"Albuquerque, NM","Phoenix, AZ",0.2,0.0
ABQ,PHX,WN,1,afternoon,5,2,22.0,1,0,"Albuquerque, NM","Phoenix, AZ",0.4,0.2
ABQ,PHX,WN,1,evening,9,2,53.5,1,1,"Albuquerque, NM","Phoenix, AZ",0.2222,0.1111
ABQ,PHX,WN,1,morning,10,1,29.0,1,0,"Albuquerque, NM","Phoenix, AZ",0.1,0.1
ABQ,SAN,WN,1,afternoon,4,2,92.5,1,0,"Albuquerque, NM","San Diego, CA",0.5,0.25
ABQ,SAN,WN,1,evening,1,0,0.0,0,0,"Albuquerque, NM","San Diego, CA",0.0,0.0
ABQ,SAN,WN,1,morning,5,1,59.0,0,0,"Albuquerque, NM","San Diego, CA",0.2,0.0
ABQ,SEA,AS,1,evening,6,2,28.5,0,0,"Albuquerque, NM","Seattle, WA",0.3333,0.0
ABQ,SFO,OO,1,morning,4,2,25.5,1,0,"Albuquerque, NM","San Francisco, CA",0.5,0.25
ABQ,SFO,UA,1,afternoon,5,2,163.5,0,0,"Albuquerque, NM","San Francisco, CA",0.4,0.0
ABQ,SLC,DL,1,red_eye,6,0,0.0,0,0,"Albuquerque, NM","Salt Lake City, UT",0.0,0.0
ABQ,SLC,OO,1,afternoon,5,1,59.0,0,0,"Albuquerque, NM","Salt Lake City, UT",0.2,0.0
ABQ,SLC,OO,1,evening,4,0,0.0,2,0,"Albuquerque, NM","Salt Lake City, UT",0.0,0.5
ABR,MSP,OO,1,afternoon,4,0,0.0,0,0,"Aberdeen, SD","Minneapolis, MN",0.0,0.0
ABR,MSP,OO,1,morning,5,2,165.0,1,0,"Aberdeen, SD","Minneapolis, MN",0.4,0.2
ABY,ATL,OO,1,afternoon,5,0,0.0,0,0,"Albany, GA","Atlanta, GA",0.0,0.0
ABY,ATL,OO,1,morning,5,0,0.0,1,0,"Albany, GA","Atlanta, GA",0.0,0.2
ACT,DFW,MQ,1,morning,7,1,60.0,0,0,"Waco, TX","Dallas/Fort Worth, TX",0.1429,0.0
ACT,DFW,MQ,1,red_eye,5,2,796.0,0,0,"Waco, TX","Dallas/Fort Worth, TX",0.4,0.0
ACT,DFW,OO,1,evening,5,1,43.0,0,0,"Waco, TX","Dallas/Fort Worth, TX",0.2,0.0
ACV,DEN,OO,1,afternoon,5,0,0.0,0,0,"Arcata/Eureka, CA","Denver, CO",0.0,0.0
ACV,LAX,OO,1,afternoon,5,0,0.0,0,0,"Arcata/Eureka, CA","Los Angeles, CA",0.0,0.0
ACV,SFO,OO,1,afternoon,10,3,46.7,0,0,"Arcata/Eureka, CA","San Francisco, CA",0.3,0.0
ACV,SFO,OO,1,morning,5,0,0.0,0,0,"Arcata/Eureka, CA","San Francisco, CA",0.0,0.0
ACY,FLL,NK,1,evening,6,2,35.5,0,0,"Atlantic City, NJ","Fort Lauderdale, FL",0.3333,0.0
ACY,FLL,NK,1,morning,5,0,0.0,0,0,"Atlantic City, NJ","Fort Lauderdale, FL",0.0,0.0
ACY,MCO,NK,1,afternoon,11,2,32.5,0,0,"Atlantic City, NJ","Orlando, FL",0.1818,0.0
ACY,MCO,NK,1,evening,6,1,20.0,0,0,"Atlantic City, NJ","Orlando, FL",0.1667,0.0
ACY,MCO,NK,1,morning,7,0,0.0,0,0,"Atlantic City, NJ","Orlando, FL",0.0,0.0
ACY,PBI,NK,1,afternoon,6,1,25.0,0,0,"Atlantic City, NJ","West Palm Beach/Palm Beach, FL",0.1667,0.0
ACY,RSW,NK,1,afternoon,1,0,0.0,0,0,"Atlantic City, NJ","Fort Myers, FL",0.0,0.0
ACY,RSW,NK,1,morning,5,0,0.0,0,0,"Atlantic City, NJ","Fort Myers, FL",0.0,0.0
ACY,TPA,NK,1,afternoon,6,0,0.0,0,0,"Atlantic City, NJ","Tampa, FL",0.0,0.0
ACY,TPA,NK,1,red_eye,5,1,22.0,0,0,"Atlantic City, NJ","Tampa, FL",0.2,0.0
ADK,ANC,AS,1,afternoon,0,0,0.0,0,2,"Adak Island, AK","Anchorage, AK",,
ADQ,ANC,AS,1,afternoon,2,1,122.0,0,0,"Kodiak, AK","Anchorage, AK",0.5,0.0
ADQ,ANC,AS,1,morning,4,1,64.0,0,1,"Kodiak, AK","Anchorage, AK",0.25,0.0
AEX,ATL,9E,1,afternoon,6,0,0.0,0,0,"Alexandria, LA","Atlanta, GA",0.0,0.0
AEX,ATL,9E,1,morning,6,0,0.0,0,0,"Alexandria, LA","Atlanta, GA",0.0,0.0
AEX,DFW,OO,1,evening,5,0,0.0,0,0,"Alexandria, LA","Dallas/Fort Worth, TX",0.0,0.0
AEX,DFW,OO,1,morning,5,1,17.0,0,0,"Alexandria, LA","Dallas/Fort Worth, TX",0.2,0.0
AEX,DFW,OO,1,red_eye,5,0,0.0,0,0,"Alexandria, LA","Dallas/Fort Worth, TX",0.0,0.0
AGS,ATL,9E,1,afternoon,5,1,17.0,0,0,"Augusta, GA","Atlanta, GA",0.2,0.0
AGS,ATL,9E,1,evening,6,1,22.0,0,0,"Augusta, GA","Atlanta, GA",0.1667,0.0
AGS,ATL,OO,1,afternoon,1,0,0.0,0,0,"Augusta, GA","Atlanta, GA",0.0,0.0
AGS,ATL,OO,1,evening,4,1,20.0,0,0,"Augusta, GA","Atlanta, GA",0.25,0.0
AGS,ATL,OO,1,morning,10,3,123.0,1,0,"Augusta, GA","Atlanta, GA",0.3,0.1
AGS,DFW,MQ,1,afternoon,1,0,0.0,0,0,"Augusta, GA","Dallas/Fort Worth, TX",0.0,0.0
AGS,DFW,OH,1,afternoon,5,1,165.0,0,0,"Augusta, GA","Dallas/Fort Worth, TX",0.2,0.0
ALB,ATL,DL,1,afternoon,6,0,0.0,0,0,"Albany, NY","Atlanta, GA",0.0,0.0
ALB,ATL,DL,1,evening,1,0,0.0,0,0,"Albany, NY","Atlanta, GA",0.0,0.0
ALB,ATL,DL,1,morning,6,0,0.0,0,0,"Albany, NY","Atlanta, GA",0.0,0.0
ALB,BNA,G4,1,afternoon,1,0,0.0,0,0,"Albany, NY","Nashville, TN",0.0,0.0
ALB,BNA,G4,1,morning,1,0,0.0,0,0,"Albany, NY","Nashville, TN",0.0,0.0
ALB,BWI,WN,1,afternoon,6,0,0.0,0,0,"Albany, NY","Baltimore, MD",0.0,0.0
ALB,BWI,WN,1,evening,9,3,29.3,0,0,"Albany, NY","Baltimore, MD",0.3333,0.0
ALB,BWI,WN,1,morning,10,0,0.0,0,0,"Albany, NY","Baltimore, MD",0.0,0.0
ALB,CLT,AA,1,evening,6,1,19.0,0,0,"Albany, NY","Charlotte, NC",0.1667,0.0
ALB,CLT,AA,1,morning,5,2,83.5,0,0,"Albany, NY","Charlotte, NC",0.4,0.0
ALB,CLT,AA,1,red_eye,6,1,94.0,0,0,"Albany, NY","Charlotte, NC",0.1667,0.0
ALB,DCA,OH,1,afternoon,5,0,0.0,0,0,"Albany, NY","Washington, DC",0.0,0.0
ALB,DCA,OH,1,evening,3,0,0.0,0,0,"Albany, NY","Washington, DC",0.0,0.0
ALB,DCA,OH,1,red_eye,5,1,358.0,0,0,"Albany, NY","Washington, DC",0.2,0.0
ALB,DFW,AA,1,morning,6,2,18.0,0,0,"Albany, NY","Dallas/Fort Worth, TX",0.3333,0.0
ALB,DTW,DL,1,red_eye,6,1,71.0,0,0,"Albany, NY","Detroit, MI",0.1667,0.0
ALB,DTW,OO,1,afternoon,5,0,0.0,0,0,"Albany, NY","Detroit, MI",0.0,0.0
ALB,DTW,OO,1,evening,1,1,40.0,0,0,"Albany, NY","Detroit, MI",1.0,0.0
ALB,FLL,B6,1,evening,6,2,80.5,0,0,"Albany, NY","Fort Lauderdale, FL",0.3333,0.0
ALB,LGA,9E,1,morning,6,1,17.0,0,0,"Albany, NY","New York, NY",0.1667,0.0
ALB,MCO,B6,1,evening,6,3,23.3,0,0,"Albany, NY","Orlando, FL",0.5,0.0
ALB,MCO,WN,1,evening,5,1,186.0,0,0,"Albany, NY","Orlando, FL",0.2,0.0
ALB,MCO,WN,1,morning,5,2,20.5,0,0,"Albany, NY","Orlando, FL",0.4,0.0
ALB,MDW,WN,1,evening,5,2,27.0,0,0,"Albany, NY","Chicago, IL",0.4,0.0
ALB,MDW,WN,1,morning,5,0,0.0,0,0,"Albany, NY","Chicago, IL",0.0,0.0
ALB,MYR,G4,1,evening,2,0,0.0,0,0,"Albany, NY","Myrtle Beach, SC",0.0,0.0
ALB,ORD,UA,1,afternoon,5,0,0.0,0,0,"Albany, NY","Chicago, IL",0.0,0.0
ALB,ORD,UA,1,morning,5,2,18.5,0,0,"Albany, NY","Chicago, IL",0.4,0.0
ALB,PGD,G4,1,afternoon,1,0,0.0,0,0,"Albany, NY","Punta Gorda, FL",0.0,0.0
ALB,PGD,G4,1,evening,3,0,0.0,0,0,"Albany, NY","Punta Gorda, FL",0.0,0.0
ALB,PIE,G4,1,evening,1,0,0.0,0,0,"Albany, NY","St. Petersburg, FL",0.0,0.0
ALB,PIE,G4,1,morning,1,1,31.0,0,0,"Albany, NY","St. Petersburg, FL",1.0,0.0
ALB,SFB,G4,1,morning,2,0,0.0,0,0,"Albany, NY","Sanford, FL",0.0,0.0
ALB,TPA,WN,1,afternoon,5,0,0.0,0,0,"Albany, NY","Tampa, FL",0.0,0.0
ALW,SEA,OO,1,afternoon,5,2,42.5,0,0,"Walla Walla, WA","Seattle, WA",0.4,0.0
ALW,SEA,OO,1,red_eye,4,0,0.0,0,1,"Walla Walla, WA","Seattle, WA",0.0,0.0
AMA,AUS,WN,1,morning,5,0,0.0,0,0,"Amarillo, TX","Austin, TX",0.0,0.0
