origin,op_unique_carrier,dep_hour,total,delayed,delay_rate
ABE,9E,6,6,1,0.1667
ABE,9E,12,6,2,0.3333
ABE,G4,9,5,1,0.2
ABE,G4,15,6,1,0.1667
ABE,OH,6,5,1,0.2
ABE,OH,11,6,2,0.3333
ABE,OH,17,5,0,0.0
ABE,OO,6,5,2,0.4
ABE,OO,17,5,1,0.2
ABI,MQ,5,5,0,0.0
ABI,MQ,8,6,0,0.0
ABI,MQ,10,6,0,0.0
ABI,MQ,14,6,0,0.0
ABI,MQ,18,6,0,0.0
ABQ,AA,6,10,1,0.1
ABQ,AA,8,6,1,0.1667
ABQ,AA,10,6,1,0.1667
ABQ,AA,12,12,2,0.1667
ABQ,AA,13,6,1,0.1667
ABQ,AA,15,6,2,0.3333
ABQ,AA,17,6,2,0.3333
ABQ,AS,18,6,2,0.3333
ABQ,DL,5,6,0,0.0
ABQ,DL,6,6,0,0.0
ABQ,DL,8,6,0,0.0
ABQ,DL,13,5,1,0.2
ABQ,MQ,10,5,1,0.2
ABQ,OO,6,5,0,0.0
ABQ,OO,7,9,3,0.3333
ABQ,OO,8,5,1,0.2
ABQ,OO,12,6,1,0.1667
ABQ,OO,14,10,3,0.3
ABQ,OO,18,12,1,0.0833
ABQ,UA,7,10,3,0.3
ABQ,UA,13,5,2,0.4
ABQ,UA,15,5,2,0.4
ABQ,UA,17,5,0,0.0
ABQ,WN,5,16,1,0.0625
ABQ,WN,6,19,3,0.1579
ABQ,WN,7,9,2,0.2222
ABQ,WN,9,5,0,0.0
ABQ,WN,10,15,2,0.1333
ABQ,WN,11,15,1,0.0667
ABQ,WN,12,9,2,0.2222
ABQ,WN,13,7,1,0.1429
ABQ,WN,14,16,7,0.4375
ABQ,WN,15,6,3,0.5
ABQ,WN,16,15,6,0.4
ABQ,WN,17,5,0,0.0
ABQ,WN,18,13,3,0.2308
ABQ,WN,20,8,3,0.375
ABY,OO,6,5,0,0.0
ABY,OO,16,5,0,0.0
ACT,MQ,5,5,2,0.4
ACT,MQ,9,6,1,0.1667
ACT,OO,18,5,1,0.2
ACV,OO,6,5,0,0.0
ACV,OO,12,5,0,0.0
ACV,OO,14,5,1,0.2
ACV,OO,15,5,0,0.0
ACV,OO,16,5,2,0.4
ACY,NK,5,5,1,0.2
ACY,NK,6,11,0,0.0
ACY,NK,9,6,0,0.0
ACY,NK,12,6,1,0.1667
ACY,NK,13,6,1,0.1667
ACY,NK,14,6,1,0.1667
ACY,NK,16,6,0,0.0
ACY,NK,19,6,2,0.3333
ACY,NK,20,6,1,0.1667
AEX,9E,6,6,0,0.0
AEX,9E,16,6,0,0.0
AEX,OO,5,5,0,0.0
AEX,OO,10,5,1,0.2
AEX,OO,18,5,0,0.0
AGS,9E,13,5,1,0.2
AGS,9E,18,6,1,0.1667
AGS,OH,16,5,1,0.2
AGS,OO,6,5,1,0.2
AGS,OO,10,5,2,0.4
ALB,9E,7,6,1,0.1667
ALB,AA,5,6,1,0.1667
ALB,AA,6,6,2,0.3333
ALB,AA,11,5,2,0.4
ALB,AA,17,6,1,0.1667
ALB,B6,20,6,2,0.3333
ALB,DL,5,6,1,0.1667
ALB,DL,6,6,0,0.0
ALB,DL,14,5,0,0.0
ALB,OH,5,5,1,0.2
ALB,OH,12,5,0,0.0
ALB,OO,12,5,0,0.0
ALB,UA,6,5,2,0.4
ALB,UA,16,5,0,0.0
ALB,WN,6,5,0,0.0
ALB,WN,7,5,0,0.0
ALB,WN,10,5,0,0.0
ALB,WN,11,5,2,0.4
ALB,WN,13,5,0,0.0
ALB,WN,17,9,4,0.4444
ALB,WN,19,5,0,0.0
ALW,OO,13,5,2,0.4
AMA,AA,6,6,2,0.3333
AMA,MQ,5,5,0,0.0
