origin,dest,op_unique_carrier,flights_2024
ABE,ATL,9E,12
ABE,BNA,G4,2
ABE,CLT,OH,17
ABE,DEN,G4,2
ABE,FLL,G4,4
ABE,MLB,G4,2
ABE,MYR,G4,2
ABE,ORD,OO,10
ABE,PGD,G4,5
ABE,PIE,G4,6
ABE,SFB,G4,12
ABE,SRQ,G4,2
ABI,DFW,MQ,30
ABQ,ATL,DL,13
ABQ,AUS,MQ,5
ABQ,AUS,WN,11
ABQ,BUR,WN,5
ABQ,BWI,WN,5
ABQ,DAL,WN,25
ABQ,DEN,UA,15
ABQ,DEN,WN,25
ABQ,DFW,AA,36
ABQ,HOU,WN,15
ABQ,IAH,OO,5
ABQ,IAH,UA,5
ABQ,LAS,NK,6
ABQ,LAS,WN,25
ABQ,LAX,OO,20
ABQ,LAX,WN,6
ABQ,LGB,WN,5
ABQ,MCI,WN,5
ABQ,MDW,WN,5
ABQ,MSP,DL,6
ABQ,OAK,WN,5
ABQ,ORD,AA,6
ABQ,ORD,OO,1
ABQ,ORD,UA,4
ABQ,PHX,AA,10
ABQ,PHX,OO,13
ABQ,PHX,WN,25
ABQ,SAN,WN,10
ABQ,SEA,AS,6
ABQ,SFO,OO,4
ABQ,SFO,UA,5
ABQ,SLC,DL,6
ABQ,SLC,OO,9
ABR,MSP,OO,9
ABY,ATL,OO,10
ACT,DFW,MQ,12
ACT,DFW,OO,5
ACV,DEN,OO,5
ACV,LAX,OO,5
ACV,SFO,OO,15
ACY,FLL,NK,11
ACY,MCO,NK,24
ACY,PBI,NK,6
ACY,RSW,NK,6
ACY,TPA,NK,11
ADK,ANC,AS,2
ADQ,ANC,AS,7
AEX,ATL,9E,12
AEX,DFW,OO,15
AGS,ATL,9E,11
AGS,ATL,OO,15
AGS,DFW,MQ,1
AGS,DFW,OH,5
ALB,ATL,DL,13
ALB,BNA,G4,2
ALB,BWI,WN,25
ALB,CLT,AA,17
ALB,DCA,OH,13
ALB,DFW,AA,6
ALB,DTW,DL,6
ALB,DTW,OO,6
ALB,FLL,B6,6
ALB,LGA,9E,6
ALB,MCO,B6,6
ALB,MCO,WN,10
ALB,MDW,WN,10
ALB,MYR,G4,2
ALB,ORD,UA,10
ALB,PGD,G4,4
ALB,PIE,G4,2
ALB,SFB,G4,2
ALB,TPA,WN,5
ALW,SEA,OO,10
AMA,AUS,WN,5
AMA,DAL,WN,20
AMA,DEN,OO,5
AMA,DEN,WN,5
AMA,DFW,AA,10
AMA,DFW,MQ,23
AMA,IAH,OO,4
AMA,LAS,WN,5
ANC,ADK,AS,2
ANC,ADQ,AS,8
ANC,BET,AS,10
ANC,BRW,AS,5
ANC,CDV,AS,5
ANC,DEN,UA,5
